,Chapter,Verse,Sanskrit,Transliteration
0,1,1,"
धृतराष्ट्र उवाच  धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः  मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय     
","
dhṛitarāśhtra uvācha dharma kṣhetre kuru kṣhetre samavetā yuyutsavaḥ māmakāḥ pāṇḍavāśhchaiva kimakurvata sañjaya
"
1,1,2,"
सञ्जय उवाच  दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा  आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्      
","
sañjaya uvācha dṛiṣhṭvā tu pāṇḍavānīkaṁ vyūḍhaṁ duryodhanastadā āchāryamupasaṅgamya rājā vachanamabravīt
"
2,1,3,"
पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्  व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता      
","
paśhyaitāṁ pāṇḍu putrāṇām āchārya mahatīṁ chamūm vyūḍhāṁ drupada putreṇa tava śhiṣhyeṇa dhīmatā
"
3,1,4,"
अत्र शूरा महेष्वासा भीमार्जुनसमा युधि  युयुधानो विराटश्च द्रुपदश्च महारथ:      धृष्टकेतुश्चेकितान: काशिराजश्च वीर्यवान्  पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गव:      युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान्  सौभद्रो द्रौपदेयाश्च सर्व एव महारथा:      
","
atra śhūrā maheṣhvāsā bhīmārjuna samā yudhiyuyudhāno virāṭaśhcha drupadaśhcha mahā rathaḥdhṛiṣhṭaketuśhchekitānaḥ kāśhirājaśhcha vīryavānpurujit kuntibhojaśhcha śhaibyaśhcha nara puṅgavaḥyudhāmanyuśhcha vikrānta uttamaujāśhcha vīryavānsaubhadro draupadeyāśhcha sarva eva mahā rathāḥ
"
4,1,5,"
अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम  नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते      
","
asmākaṁ tu viśhiṣhṭā ye tānnibodha dwijottama nāyakā mama sainyasya sanjñārthaṁ tānbravīmi te
"
5,1,6,"
भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जय:  अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च      
","
bhavānbhīṣhmaśhcha karṇaśhcha kṛipaśhcha samitiñjayaḥ aśhvatthāmā vikarṇaśhcha saumadattis tathaiva cha
"
6,1,7,"
अन्ये च बहव: शूरा मदर्थे त्यक्तजीविता:  नानाशस्त्रप्रहरणा: सर्वे युद्धविशारदा:      
","
anye cha bahavaḥ śhūrā madarthe tyaktajīvitāḥ nānā śhastra praharaṇāḥ sarve yuddha viśhāradāḥ
"
7,1,8,"
अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्  पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्      
","
aparyāptaṁ tadasmākaṁ balaṁ bhīṣhmābhirakṣhitam paryāptaṁ tvidameteṣhāṁ balaṁ bhīmābhirakṣhitam
"
8,1,9,"
अयनेषु च सर्वेषु यथाभागमवस्थिता:  भीष्ममेवाभिरक्षन्तु भवन्त: सर्व एव हि      
","
ayaneṣhu cha sarveṣhu yathā bhāgamavasthitāḥ bhīṣhmamevābhirakṣhantu bhavantaḥ sarva eva hi
"
9,1,10,"
तस्य सञ्जनयन्हर्षं कुरुवृद्ध: पितामह:  सिंहनादं विनद्योच्चै: शङ्खं दध्मौ प्रतापवान्      
","
tasya sañjanayan harṣhaṁ kuru vṛiddhaḥ pitāmahaḥ siṁha nādaṁ vinadyochchaiḥ śhaṅkhaṁ dadhmau pratāpavān
"
10,1,11,"
तत: शङ्खाश्च भेर्यश्च पणवानकगोमुखा:  सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्      
","
tataḥ śhaṅkhāśhcha bheryaśhcha paṇavānaka gomukhāḥ sahasaivābhyahanyanta sa śhabdastumulo ’bhavat
"
11,1,12,"
तत: श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ  माधव: पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतु:      
","
tataḥ śhvetairhayairyukte mahati syandane sthitau mādhavaḥ pāṇḍavaśhchaiva divyau śhaṅkhau pradadhmatuḥ
"
12,1,13,"
पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जय:  पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदर:      
","
pāñchajanyaṁ hṛiṣhīkeśho devadattaṁ dhanañjayaḥpauṇḍraṁ dadhmau mahā śhaṅkhaṁ bhīma karmā vṛikodaraḥ
"
13,1,14,"
अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिर:  नकुल: सहदेवश्च सुघोषमणिपुष्पकौ      काश्यश्च परमेष्वास: शिखण्डी च महारथ:  धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजित:      द्रुपदो द्रौपदेयाश्च सर्वश: पृथिवीपते  सौभद्रश्च महाबाहु: शङ्खान्दध्मु: पृथक् पृथक्      
","
anantavijayaṁ rājā kuntī putro yudhiṣhṭhiraḥ nakulaḥ sahadevaśhcha sughoṣha maṇipuṣhpakaukāśhyaśhcha parameṣhvāsaḥ śhikhaṇḍī cha mahā rathaḥ dhṛiṣhṭadyumno virāṭaśhcha sātyakiśh chāparājitaḥdrupado draupadeyāśhcha sarvaśhaḥ pṛithivī pate saubhadraśhcha mahā bāhuḥ śhaṅkhāndadhmuḥ pṛithak pṛithak
"
14,1,15,"
स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्  नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन्      
","
sa ghoṣho dhārtarāṣhṭrāṇāṁ hṛidayāni vyadārayat nabhaśhcha pṛithivīṁ chaiva tumulo abhyanunādayan
"
15,1,16,"
अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वज:  प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डव:     हृषीकेशं तदा वाक्यमिदमाह महीपते  
","
atha vyavasthitān dṛiṣhṭvā dhārtarāṣhṭrān kapi dhwajaḥ pravṛitte śhastra sampāte dhanurudyamya pāṇḍavaḥ hṛiṣhīkeśhaṁ tadā vākyam idam āha mahī pate
"
16,1,17,"
अर्जुन उवाच  सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत      यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्  कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे      
","
arjuna uvāchasenayor ubhayor madhye rathaṁ sthāpaya me ’chyutayāvadetān nirīkṣhe ’haṁ yoddhu kāmān avasthitānkairmayā saha yoddhavyam asmin raṇa samudyame
"
17,1,18,"
योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागता:  धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षव:      
","
yotsyamānān avekṣhe ’haṁ ya ete ’tra samāgatāḥdhārtarāṣhṭrasya durbuddher yuddhe priya chikīrṣhavaḥ
"
18,1,19,"
सञ्जय उवाच  एवमुक्तो हृषीकेशो गुडाकेशेन भारत  सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम्      
","
sañjaya uvāchaevam ukto hṛiṣhīkeśho guḍākeśhena bhāratasenayor ubhayor madhye sthāpayitvā rathottamam
"
